Ranking,Sin_HPO,PS_Sin_HPO,Ranking,Asthma,PS_Asthma,Ranking,Asthma_ARS,PS_A_Ab_Resp,Ranking,Asthma_ARP,PS_A_y_ARP,Ranking,Ab_Resp_system,PS_ARS,Ranking,Asthma_Ig_hypers,PS_A_y_Ighypers,Ranking,Asthma_Abnormality_Igsystem,PS_A_AIGS,Ranking,Ab_immune_system,PS_AIGS,Ranking,Decreased_T4,PS_Decreased_T4,Ranking,"Decreased_T4_Abnormal_circulating_T4_concentration
",PS_dT4_ACT4,Ranking,Increased_T4,PS_iT4,Ranking,HPO increased T4_Abnormal_T4,PS_dT4_ACT4,Ranking,Ab_endocrine_system,PS_AES,Ranking,all_HPOS,PS_allHPO,Ranking,Abnormality_of_face,PS_AOF
16,NA,0,"16,00",DUOXA1;DUOXA2,"0,5","16,00",DUOXA1;DUOXA2,"0,501","16,00",DUOXA1;DUOXA2,"0,5","16,00",ADRB2,0,"16,00",DUOXA1;DUOXA2,"0,5","16,00",DUOXA1;DUOXA2,"0,5","16,00",NA,0,"16,00",DUOXA1;DUOXA2,"0,514","16,00",DUOXA1;DUOXA2,"0,515","16,00",DUOXA1;DUOXA2,"0,512","16,00",DUOXA1;DUOXA2,"0,513","16,00",DUOXA1;DUOXA2,"0,5","16,00",NA,0,"16,00",NA,0
17,NA,0,"17,00",SLC5A5,"0,5","17,00",SLC5A5,"0,501","17,00",SLC5A5,"0,501","17,00",NA,0,"17,00",SLC5A5,"0,501","17,00",SLC5A5,"0,5","17,00",NA,0,"17,00",ADRB2,0,"17,00",ADRB2,0,"17,00",ADRB2,0,"17,00",ADRB2,0,"17,00",ADRB2,0,"17,00",ADRB2,0,"17,00",DUOXA1;DUOXA2,"0,502"
18,IYD,0,"18,00",ADRB2,0,"18,00",ADRB2,0,"18,00",ADRB2,0,"18,00",TG,0,"18,00",ADRB2,0,"18,00",ADRB2,0,"18,00",IYD,0,"18,00",NA,0,"18,00",NA,0,"18,00",NA,0,"18,00",NA,0,"18,00",NA,0,"18,00",NA,0,"18,00",NA,0
19,DUOXA1;DUOXA2,0,"19,00",NA,0,"19,00",NA,0,"19,00",NA,0,"19,00",NA,0,"19,00",NA,0,"19,00",NA,0,"19,00",DUOXA1;DUOXA2,0,"19,00",NA,0,"19,00",NA,0,"19,00",NA,0,"19,00",NA,0,"19,00",NA,0,"19,00",NA,0,"19,00",TG,0
20,SLC5A5,0,"20,00",NA,0,"20,00",NA,0,"20,00",NA,0,"20,00",NA,0,"20,00",NA,0,"20,00",NA,0,"20,00",SLC5A5,0,"20,00",NA,0,"20,00",NA,0,"20,00",NA,0,"20,00",NA,0,"20,00",NA,0,"20,00",NA,0,"20,00",NA,0
21,PLA2G7,"0,5","21,00",PLA2G7,"0,5","21,00",PLA2G7,"0,5","21,00",PLA2G7,"0,5","21,00",PLA2G7,"0,5","21,00",PLA2G7,"0,5","21,00",PLA2G7,"0,5","21,00",PLA2G7,0,"21,00",PLA2G7,"0,5","21,00",PLA2G7,"0,501","21,00",PLA2G7,"0,501","21,00",PLA2G7,"0,501","21,00",PLA2G7,"0,501","21,00",PLA2G7,0.5,"21,00",PLA2G7,0.5
VPasthma,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,
VPT4,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,
VPtotal,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,
VN,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,
FP,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,,,10,
FN,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,
Sensibilidad,"0,9090909091",,,"0,9090909091",,,"0,9090909091",,,"0,9090909091",,,"0,9090909091",,,"0,9090909091",,,"0,9090909091",,,"0,9090909091",,,"0,9090909091",,,"0,9090909091",,,"0,9090909091",,,"0,9090909091",,,"0,9090909091",,,"0,9090909091",,,"0,9090909091",
Especificidad,"0,3333333333",,,"0,3333333333",,,"0,3333333333",,,"0,3333333333",,,"0,3333333333",,,"0,3333333333",,,"0,3333333333",,,"0,3333333333",,,"0,3333333333",,,"0,3333333333",,,"0,3333333333",,,"0,3333333333",,,"0,3333333333",,,"0,3333333333",,,"0,3333333333",
Variantes a efectos de cálculo,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,,,25,
Variantes introducidas,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,,,11,
Variantes asthma,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,
Variantes T4,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,
